method,type,consequence,n_total,n_pathogenic,n_valid,auroc,auprc
AlphaGenome composite,scalar,Splice Donor,1853,1713,1853,0.8290592944708532,0.9781554611050026
AlphaGenome composite,scalar,Splice Acceptor,1650,1497,1650,0.8093529106142567,0.9691461881248056
AlphaGenome composite,scalar,Intronic,27644,1369,27644,0.931792087816466,0.5887142166512651
AlphaGenome composite,scalar,Initiator Codon,715,559,715,0.6463235631393055,0.8681974442194549
AlphaGenome composite,scalar,5' UTR,1480,75,1480,0.71644128113879,0.2643558609367596
AlphaGenome composite,scalar,3' UTR,876,25,876,0.8109048178613396,0.403657257728471
AlphaGenome composite,scalar,Non-coding Transcript,3593,97,3593,0.8857250701833023,0.507645862102675
AlphaGenome composite,scalar,Missense (canonical),95791,31833,95791,0.5230075632941928,0.3709057944936793
AlphaGenome composite,scalar,Missense (non-canonical),5875,676,5875,0.5446508545680724,0.1544988694020847
AlphaGenome composite,scalar,Other,187,102,187,0.3973471741637832,0.4661185100593809
Evo2 probe,probe,Overall,158616,44057,158616,0.9669988952086492,0.9204067731533844
Evo2 probe,probe,Missense,101666,32509,101666,0.9551011983203656,0.904767464124792
Evo2 probe,probe,Synonymous,12585,289,12585,0.920166459174278,0.7102252832339067
Evo2 probe,probe,Nonsense,6367,5822,6367,0.8051812328434693,0.9693583597731328
Evo2 probe,probe,Splice Donor,1853,1713,1853,0.814375364856976,0.9742831808595668
Evo2 probe,probe,Splice Acceptor,1650,1497,1650,0.8583594203657859,0.9741423518716044
Evo2 probe,probe,Intronic,27644,1369,27644,0.9322839634450198,0.8016359838266673
Evo2 probe,probe,Initiator Codon,715,559,715,0.859473189303243,0.9382135506864314
Evo2 probe,probe,5' UTR,1480,75,1480,0.7568208778173191,0.4319311969780341
Evo2 probe,probe,3' UTR,876,25,876,0.8195534665099883,0.3233471158565836
Evo2 probe,probe,Non-coding Transcript,3593,97,3593,0.8425269527471752,0.5387618563078159
Evo2 probe,probe,Missense (canonical),95791,31833,95791,0.9531119267949916,0.9053616645387416
Evo2 probe,probe,Missense (non-canonical),5875,676,5875,0.9751458518991476,0.8781566511383351
Evo2 probe,probe,Other,187,102,187,0.8713956170703576,0.8638106474397071
NTv3 subref probe,probe,Overall,158616,44057,158616,0.667703105287113,0.5478650386883521
NTv3 subref probe,probe,Missense,101666,32509,101666,0.5764986031893509,0.426176192149297
NTv3 subref probe,probe,Synonymous,12585,289,12585,0.8302660667772792,0.5619102132858711
NTv3 subref probe,probe,Nonsense,6367,5822,6367,0.6904938244368877,0.9497601812367026
NTv3 subref probe,probe,Splice Donor,1853,1713,1853,0.8063255775164705,0.974834042514498
NTv3 subref probe,probe,Splice Acceptor,1650,1497,1650,0.7809475159469266,0.9640716553816808
NTv3 subref probe,probe,Intronic,27644,1369,27644,0.7822859442362105,0.5733696097619067
NTv3 subref probe,probe,Initiator Codon,715,559,715,0.7878652355396543,0.9252350099513114
NTv3 subref probe,probe,5' UTR,1480,75,1480,0.55941162514828,0.246203264009092
NTv3 subref probe,probe,3' UTR,876,25,876,0.5574618096357227,0.0681670642517291
NTv3 subref probe,probe,Non-coding Transcript,3593,97,3593,0.6962301540493996,0.4388367991432805
NTv3 subref probe,probe,Missense (canonical),95791,31833,95791,0.574755974141832,0.4358109795536406
NTv3 subref probe,probe,Missense (non-canonical),5875,676,5875,0.6210636205642641,0.3006372541859098
NTv3 subref probe,probe,Other,187,102,187,0.5815455594002307,0.6496668604776925
CADD v1.6,scalar,Overall,158616,44057,158607,0.9660243193051836,0.9019924705943163
