benchmark,method,consequence,n,n_pathogenic,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,accuracy,accuracy_lo,accuracy_hi,f1,f1_lo,f1_hi
ClinVar SNV,CADD v1.7,Nonsense,36050,35454,0.78303,0.759583,0.805084,0.993156,0.991974,0.994209,0.855479,0.852093,0.859057,0.921299,0.919236,0.923402
ClinVar SNV,CADD v1.7,Splice,21683,21348,0.868783,0.84152,0.891373,0.996369,0.995394,0.99719,0.947055,0.944011,0.949962,0.972514,0.970896,0.974065
ClinVar SNV,CADD v1.7,UTR,31913,109,0.858993,0.80626,0.905228,0.185393,0.12379,0.26841,0.928086,0.925045,0.930844,0.064411,0.049877,0.078293
ClinVar SNV,CADD v1.7,Intronic,254736,1722,0.909506,0.899474,0.918675,0.309142,0.285737,0.33308,0.924746,0.923764,0.925716,0.125855,0.119732,0.132062
ClinVar SNV,CADD v1.7,Other,2230,207,0.859179,0.83208,0.884187,0.441809,0.380299,0.504865,0.789686,0.773083,0.806289,0.423124,0.379078,0.464347
ClinVar SNV,AlphaMissense,Overall,118007,35605,0.967428,0.966473,0.968376,0.930738,0.928383,0.933003,0.909582,0.907826,0.911116,0.85893,0.856098,0.861562
ClinVar SNV,AlphaMissense,Missense,117656,35534,0.967592,0.966689,0.968529,0.930998,0.928824,0.93335,0.909771,0.908206,0.911437,0.859353,0.856848,0.862121
ClinVar SNV,GPN-MSA,Overall,832689,96793,0.964005,0.963274,0.964738,0.871364,,,,,,,,
ClinVar SNV,GPN-MSA,Missense,125082,36301,0.939768,0.938783,0.94095,0.842217,,,,,,,,
ClinVar SNV,GPN-MSA,Synonymous,292368,299,0.798535,0.769488,0.826939,0.028512,,,,,,,,
ClinVar SNV,GPN-MSA,Nonsense,36050,35454,0.835223,0.819059,0.850968,0.995903,,,,,,,,
ClinVar SNV,GPN-MSA,Splice,21683,21348,0.868557,0.830297,0.900005,0.997004,,,,,,,,
ClinVar SNV,GPN-MSA,UTR,31911,109,0.776284,0.696435,0.847159,0.110192,,,,,,,,
ClinVar SNV,GPN-MSA,Intronic,254735,1723,0.820649,0.809298,0.834588,0.303539,,,,,,,,
ClinVar SNV,GPN-MSA,Other,2230,260,0.917499,0.897892,0.941795,0.701509,,,,,,,,
ClinVar SNV,NTv3,Overall,833970,96793,0.839998,0.838815,0.841275,0.501401,,,,,,,,
ClinVar SNV,NTv3,Missense,125092,36301,0.615331,0.612186,0.618807,0.380072,,,,,,,,
ClinVar SNV,NTv3,Synonymous,292369,299,0.870596,0.847822,0.891682,0.025751,,,,,,,,
ClinVar SNV,NTv3,Nonsense,36050,35454,0.631934,0.606895,0.660537,0.987774,,,,,,,,
ClinVar SNV,NTv3,Splice,21683,21348,0.740553,0.690963,0.780647,0.992829,,,,,,,,
ClinVar SNV,NTv3,UTR,31911,109,0.73076,0.638114,0.812575,0.112196,,,,,,,,
ClinVar SNV,NTv3,Intronic,254737,1723,0.903992,0.896229,0.912247,0.167246,,,,,,,,
ClinVar SNV,NTv3,Other,3498,260,0.700807,0.659207,0.731495,0.229786,,,,,,,,
ClinVar SNV,AlphaGenome,Overall,833970,96793,0.645286,0.643154,0.647402,0.360212,,,,,,,,
ClinVar SNV,AlphaGenome,Missense,125092,36301,0.520403,0.517263,0.523662,0.328583,,,,,,,,
ClinVar SNV,AlphaGenome,Synonymous,292369,299,0.90106,0.877844,0.921583,0.108085,,,,,,,,
ClinVar SNV,AlphaGenome,Nonsense,36050,35454,0.523515,0.501623,0.541399,0.985249,,,,,,,,
ClinVar SNV,AlphaGenome,Splice,21683,21348,0.821612,0.779208,0.859857,0.995442,,,,,,,,
ClinVar SNV,AlphaGenome,UTR,31911,109,0.772637,0.686364,0.858917,0.076688,,,,,,,,
ClinVar SNV,AlphaGenome,Intronic,254737,1723,0.938683,0.933452,0.944745,0.231586,,,,,,,,
ClinVar SNV,AlphaGenome,Other,3498,260,0.468583,0.439189,0.506003,0.078928,,,,,,,,
