gene,method,window,eval_set,n_total,n_pathogenic,n_valid,auroc,auroc_ci_lo,auroc_ci_hi,spearman,spearman_ci_lo,spearman_ci_hi
TP53,dms_geneho_L27_w128,w128,gene_holdout,1922,716,1922,0.722647,0.695075,0.751086,0.377921,0.332484,0.422735
LDLR,evo2_loss,scalar,all_annotated,16320,3522,16320,0.669785,0.660652,0.679944,-0.245206,-0.259498,-0.231395
LDLR,alphamissense,scalar,all_annotated,16320,767,5043,0.799889,0.781397,0.816511,-0.339171,-0.364698,-0.314870
LDLR,clinvar_gfc_emb,gfc,clinvar_zeroshot,16320,3522,16320,0.777599,0.770157,0.785791,-0.359619,-0.372479,-0.344619
LDLR,dms_iid_L27_w64,w64,test20,16320,704,3264,0.818439,0.797590,0.839285,-0.394487,-0.424262,-0.364153
LDLR,cadd_phred,scalar,all_annotated,16320,993,5291,0.767221,0.749230,0.785111,-0.315098,,
BRCA1,clinvar_covprobe64,w1024,clinvar_zeroshot,2803,625,2803,0.891817,0.87866,0.905121,-0.554183,-0.579494,-0.528141
LDLR,clinvar_covprobe64,w1024,clinvar_zeroshot,16078,3489,16078,0.803307,0.794256,0.811659,-0.40566,-0.4183,-0.392567
TP53,clinvar_covprobe64,w1024,clinvar_zeroshot,1922,716,1922,0.927555,0.914532,0.939255,0.698512,0.673399,0.719626
BRCA2,clinvar_covprobe64,w1024,clinvar_zeroshot,6270,892,6270,0.914710,0.902918,0.925645,-0.439900,-0.462479,-0.417310
LDLR,dms_iid_covprobe64,w1024,test20,24999,924,4931,0.866494,0.852357,0.882112,-0.448892,-0.472772,-0.423167
BRCA1,dms_iid_covprobe64,w1024,test20,2803,133,560,0.913868,0.880136,0.943761,-0.583672,-0.647110,-0.514940
TP53,dms_iid_covprobe64,w1024,test20,1920,147,384,0.914478,0.887159,0.941327,0.669712,0.613401,0.718017
BRCA2,dms_iid_covprobe64,w1024,test20,6270,150,1254,0.900903,0.869022,0.930242,-0.361091,-0.411684,-0.309643
