window,overall,missense,nonsense,splice,synonymous,intron
8192,-0.005604,-0.008707,0.014031,0.030303,0.012229,-0.004026
16384,0.005186,0.012544,0.048469,0.030303,-0.001048,0.002597
32768,-0.000043,0.000554,0.052296,-0.013468,0.011181,0.007922
65536,0.014696,0.02181,0.063776,0.03367,-0.040531,0.021039
